한칸,l_type,name,학점,교강사,time
,교양,사고와표현(상경대학),3,임선숙,"화8,9,10/목8,9,10(상경309)"
,교양,사고와표현(마이스터경영(야간)),3,박정규,"수20,21,22(인문320)"
,교양,사고와표현(음악대학),3,김유미,"화5,6,7/목5,6,7(인문409)"
,교양,사고와표현(음악대학),3,김정녀,"화5,6,7/목5,6,7(사범307)"
,교양,사고와표현(음악대학),3,박정규,"화5,6,7/목5,6,7(인문421)"
,교양,사고와표현(외국인유학생전용),3,허재영,"화8,9,10/목8,9,10(인문409)"
,교양,사고와표현(외국인유학생전용),3,맹영일,"화8,9,10/목8,9,10(3공318)"
,교양,사업개발과전략경영,2,양준환,"수9,10,11,12(사범208)"
,교양,사이버보안,2,김기원,"금1,2,3,4(사범501)"
,교양,사회봉사온라인특강1,0,,
,교양,사회봉사온라인특강2,0,,
,교양,사회봉사온라인특강3,0,,
,교양,사회심리학의이해,2,오은주,"목15,16,17,18(인문320)"
,교양,사회이슈와현대정치론,3,변상호,"목7,8,9,10,11,12(사범201)"
,교양,사회적기업창업실무,2,김형수,"금9,10,11,12(사범312)"
,교양,산업체현장실습,1,,
,교양,상업정보교과교재연구및지도법,3,권주형,"화19,20,21(상경322)"
,교양,생명과학의세계,3,곽상준,"월13,14,15,16,17,18(상경103)"
,교양,생명의전쟁,3,박웅준,"월13,14,15,16,17,18(국제307)"
,교양,생명의학과공학기술의만남,3,박일용,"금2,3,4,5,6,7(국제102_계단)"
,교양,생체분자세포그리고생명(인문계 전용),3,장영주,"목1,2,3,4,5,6(3공318)"
,교양,생체분자세포그리고생명(이공계 전용),3,장영주,"목13,14,15,16,17,18(3공318)"
,교양,생활물리,2,현준원,"월5,6,7,8(사범310)"
,교양,생활속의전기,3,한경호,"목1,2,3,4,5,6(자연102(촬영))"
,교양,생활지도및상담(비사계 교직),2,정삼희,"월19,20(사범401)"
,교양,서양미술사의이해,3,임두빈,"금15,16,17,18,19(사범205)"
,교양,서양사의이해,3,김상엽,"월2,3,4,5,6,7(상경309)"
,교양,서양음악통론과비평(음대생 수강제한),3,변정은,"화3,4,5,6,7,8(사범310)"
,교양,서양의사상,3,유성근,"금5,6,7,8,9,10(인문209)"
,교양,성공취업을위한인문학역량강화,2,전은실,"화1,2,3,4(사범207)"
