한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,레크레이션댄스,2,최은용,"화14,15,16,17(예술관D동302)"
,교양,르네상스음악다시보기,2,정상희,"화10,11,12,13(예417)"
,교양,맞춤형취업지도,2,최형진,"화14,15,16,17(산학112)"
,교양,명리직업적성론,2,박정우,"목10,11,12,13(인520)"
,교양,명사초청세미나,2,이일석,"수6,7,8,9(인115-01)"
,교양,명심보감의지혜,3,이상훈,"수2,3,4,5,6,7(인214)"
,교양,명심보감의지혜,3,이상훈,"화19,20,21(인214)"
,교양,몸짓과문화,2,최은용,"목14,15,16,17(인115-01)"
,교양,몽골문화론,3,류병재,"목2,3,4,5,6,7(인526)"
,교양,문학 톡 그리고나의이력서,2,김수진,"수8,9,10,11(산학112)"
,교양,문학과심리학,3,양은창,"월2,3,4,5,6,7(인420)"
,교양,문학의이해,3,전용빈,"월2,3,4,5,6,7(인317)"
,교양,뮤지컬발성법의이해,2,전병곤,"월2,3,4,5(예323)"
,교양,뮤지컬발성법의이해,2,전병곤,"월12,13,14,15(예323)"
,교양,미래연구와사회변화,3,방민석,"월6,7,8,9,10,11(사회409)"
,교양,미술감상및비평,2,정철규,"수17,18,19(예013-01)"
,교양,미술교수학습방법,2,함선미,"목17,18,19(예322)"
,교양,미술심리치료,2,김선명,"목13,14,15,16(학생405)"
,교양,민주시민정치와정치관계법,3,장철준,"수12,13,14,15,16,17(사회004)"
,교양,바이러스의이해,3,김만복,"월2,3,4,5,6,7(약학113-01)"
,교양,바이러스의이해,3,김만복,"월19,20,21(약학113-01)"
,교양,바이오기업가정신,2,오창규,"월15,16,17,18(1과215)"
,교양,바이오산업의이해및취업전략,2,박규종,"화2,3,4,5(산학112)"
,교양,반려동물과정서교감,2,김인호,"목19,20(생명105)"
,교양,방송과신문의이해,2,오광건,"수10,11,12,13(사회012)"
,교양,백범김구와단국대학교,2,박성순,"화2,3,4,5(사회004)"
,교양,법과경제연구,3,정주환,"월2,3,4,5,6,7(사회404)"
,교양,베트남어입문,2,최해형,"월2,3,4,5(인530)"
,교양,보컬의이해,2,전병곤,"수2,3,4,5(예322)"
,교양,보컬의이해,2,전병곤,"수10,11,12,13(예322)"
,교양,북유럽문화의이해(사이버),3,박하나,"화19,20,21(인008-01)"
,교양,북한문화예술기행,3,김미진,"목12,13,14,15,16,17(인526)"
,교양,북한학의이해,3,이용광,"화11,12,13,14,15,16(사회214)"
,교양,분석기기의응용,3,최영봉,"월19,20,21(산학117)"
,교양,분석기기의응용,3,최영봉,"목19,20,21(산학117)"
,교양,분석기기의이해및실습,2,박재원,"월3,4,5,6(산학117)"
,교양,분석기기의이해및실습,2,박재원,"화3,4,5,6(산학117)"
,교양,불교문화론,3,박경식,"금2,3,4,5,6,7(인530)"
,교양,불확실성의미래보기,2,김홍겸,"수10,11,12,13(인000-09)"
,교양,불확실성의미래보기,2,김홍겸,"수19,20(인000-09)"
,교양,비전공자들을위한신경학(사이버),2,안승철,"수19,20(약학114-01)"
,교양,빛과문명,2,이명섭,"수13,14,15,16(1과317)"
,교양,사고와표현([외국어대학 1학년 전용강좌(타학년 제한없음 2차때 수강가능)]),3,강민정,"월10,11,12/수10,11,12(인426)"
,교양,사고와표현([외국어대학 1학년 전용강좌(타학년 제한없음 2차때 수강가능)]),3,안숙현,"월10,11,12/수10,11,12(인422)"
,교양,사고와표현([외국어대학 1학년 전용강좌(타학년 제한없음 2차때 수강가능)]),3,홍순창,"월10,11,12/수10,11,12(인521)"
